Preview Type , Type de prévisualisation
Skin Mask ,
Sketch ,
Skeletik ,
Size-3 ,
Chroma Noise ,
Chroma ,
Christine Garner: Willow Charcoal ,
Christine Garner: Sketching Pastel ,
Chrominances Only (CbCr) ,
Chrome 01 ,
Chromaticity From ,
Chromatic Aberrations ,
Christine Garner: Pencil ,
Chessboard ,
Chemical 168 ,
Charset ,
Charcoal ,
Christine Garner: Dark Coloured Pencil ,
Christine Garner: Colour Pencil Sepia ,
Christine Garner: Black Colour Pencil ,
Chick ,
Cinema 2 ,
Cinema ,
Cine Warm ,
Cine Vibrant ,
Cinema Noir ,
Cinema 5 ,
Cinema 4 ,
Cinema 3 ,
Cine Teal Orange 2 ,
Cine Blue ,
Cine Basic ,
Cine BM4k ,
Chrominances Only (ab) ,
Cine Teal Orange 1 ,
Cine Drama ,
Cine Cold ,
Cine Bright ,
Chaotic Tangent ,
Center Y ,
Center X-Shift ,
Center X ,
Center Smoothness ,
Centers Color ,
Centering / Scale ,
Centering (%) ,
Center Y-Shift ,
Center Size ,
Cat ,
Cartoon [Animated] ,
Cartoon ,
Cartesian Transform ,
Center Help ,
Cell Size ,
Category ,
Cat Pad ,
Chaos Spacetime ,
Chaos Deep-Vibrato ,
Channels to Layers ,
Channel Processing ,
Chaotic Hooks Unearthing ,
Chaotic Hooks ,
Chaotic Creation ,
Chaos-Vibrato ,
Channel #3 ,
Cercle / Circle C ,
Central Perspective Outdoor ,
Centimeter ,
Centers Radius ,
Channel #2 ,
Channel #1 ,
Chalk It Up [Fr] ,
Cercle / Circle D ,
Cinematic (8) ,
Clear Control Points ,
Clean Text ,
Clean ,
Clayton 33 ,
Clip CMYK ,
Clip ,
Cliff ,
Clear Teal Fade ,
Classic Teal and Orange ,
Classic Films 01 ,
Classic Chrome ,
Clarity ,
City Dust ,
Classic Films 05 ,
Classic Films 04 ,
Classic Films 03 ,
Classic Films 02 ,
Cold Simplicity 2 ,
Cold Ice ,
Cold Clear Blue 1 ,
Cold Clear Blue ,
Color 3 (Bottom/Left Corner) ,
Color 2 (Up/Right Corner) ,
Color 1 (Up/Left Corner) ,
Color (rich) ,
Coffee 44 ,
Clouds ,
Closing - Opening ,
Closeup ,
Clip RGB ,
Coefficients ,
Cobi 3 ,
Coarse to Fine ,
Clouseau 54 ,
City 7 ,
Cinematic-01 ,
Cinematic for Flog ,
Cinematic Travel (29) ,
Cinematic Mexico ,
Cinematic-10 ,
Cinematic-1 ,
Cinematic-03 ,
Cinematic-02 ,
Cinematic Lady Bird ,
Cinematic 04 ,
Cinematic 03 ,
Cinematic 02 ,
Cinematic 01 ,
Cinematic Forest ,
Cinematic 07 ,
Cinematic 06 ,
Cinematic 05 ,
Circle to Square ,
Circle Transform ,
Circle Art ,
Circle Abstraction ,
City ,
Circles 2 ,
Circles 1 ,
Circles (Outline) ,
Circle (Inv.) ,
Cinematic-5 ,
Cinematic-4 ,
Cinematic-3 ,
Cinematic-2 ,
Cinematic-9 ,
Cinematic-8 ,
Cinematic-7 ,
Cinematic-6 ,
Carnivorous Plant ,
Blur [Gaussian] ,
Blur [Depth-Of-Field] ,
Blur [Bloom] ,
Blur [Angular] ,
Blur [Radial] ,
Blur [Multidirectional] ,
Blur [Linear] ,
Blur [Glow] ,
Blur Strength ,
Blur Frame ,
Blur Factor ,
Blur Dodge and Burn Layer ,
Blur Amount ,
Blur Standard Deviation ,
Blur Shade ,
Blur Precision ,
Blur Percentage ,
Border Outline ,
Border Opacity ,
Border Color ,
Boost-Fade ,
Bottles ,
Border Width ,
Border Thickness (%) ,
Border Smoothness ,
Boost Stroke ,
Bob Ford ,
Boats ,
Blur the Mask ,
Blur [Splinter] ,
Boost Smooth ,
Boost Chromaticity ,
Boost ,
Bokeh ,
Blur Alpha ,
Blockism ,
Bloc Size (%) ,
Blobs Editor ,
Blob2 ,
Blue Chroma Smoothness ,
Blue Chroma Shift ,
Blue Chroma Factor ,
Bloom ,
Blob Size ,
Blob 7 Color ,
Blob 7 ,
Blob 6 Color ,
Blob 6 ,
Blob 9 Color ,
Blob 9 ,
Blob 8 Color ,
Blob 8 ,
Blue Shift ,
Blue Shadows 01 ,
Blue Screen Mode ,
Blue Rotations ,
Blues ,
Blue-Green ,
Blue Wavelength ,
Blue Steel ,
Blue Mono ,
Blue Dark ,
Blue Color ,
Blue Cold Fade ,
Blue Chrominance ,
Blue Level ,
Blue Ice ,
Blue House ,
Blue Factor ,
Bottom Size ,
CFB-[cfb] ,
CFA-[cfa] ,
C-Line ,
Byers 11 ,
CMY[Key] ,
CMYK Tone ,
CLUT from After - Before Layers ,
CLUT Opacity ,
By Value ,
By Iteration ,
By Green Component ,
By Custom Expression ,
By Blue Component ,
By Red Component ,
By Red Chrominance ,
By Luminance ,
By Lightness ,
Canvas Darkness ,
Canvas Color ,
Canvas Brightness ,
Candle Light ,
Caribe ,
Card Suits ,
Car ,
Canvas Texture ,
Canal Alpha ,
Camera Motion Only ,
C[Magenta]YK ,
CRT Sub-Pixels ,
CM[Yellow]K ,
Camouflage ,
Cameraman ,
Camera Y ,
Camera X ,
By Blue Chrominance ,
Breaks ,
Braque: The Mandola ,
Braque: Little Bay at La Ciotat ,
Braque: Landscape near Antwerp ,
Bright Green 01 ,
Bright Green ,
Bright ,
Brighness ,
Box Fitting ,
Bottom-Right Vertex (%) ,
Bottom-Right ,
Bottom-Left Vertex (%) ,
Bottom-Left ,
Bourbon 64 ,
Boundary Conditions ,
Boundaries (%) ,
Bouncing Balls ,
Built-in Gray ,
Brushify ,
Brush Diameter ,
Bruit / Noise ,
Butterfly ,
Burn Strength ,
Burn Blur ,
Bump Factor ,
Brownish ,
Bright Warm ,
Bright Teal Orange ,
Bright Pixels ,
Bright Length ,
Brown Mobster ,
Brown BM ,
Bronze ,
Bristle Size ,
Cut & Normalize ,
Customize CLUT ,
Custom Transform ,
Custom Style (Top Layer) ,
Cyan Color ,
Cutout ,
Cut Low ,
Cut High ,
Custom Style (Bottom Layer) ,
Custom Dictionary ,
Custom Depth Maps Stream ,
Custom Depth Correction ,
Custom D-Y-[vy] ,
Custom Layers ,
Custom Filter Code ,
Custom E-Y-[vy] ,
Custom E-X-[vx] ,
DCP Dehaze ,
DCCI2x ,
D and O 1 ,
Déformation 2 ,
Dark Boost ,
Dark Blues in Sunlight ,
Dark ,
Damping per Octave ,
Déformation 1 ,
Cycle Layers ,
Cyan Smoothness ,
Cyan Shift ,
Cyan Factor ,
Déformation ,
Décalage Ombre Y / Shadow Offset Y ,
Décalage Ombre X / Shadow Offset X ,
Cylinder ,
Custom D-X-[vx] ,
Cubic Unearthing ,
Cube (256) ,
Crystal Background ,
Crystal ,
Cubism on Color Abstraction ,
Cubism ,
Cubicle 99 ,
Cubic-Diamond Chaos ,
Crushin ,
Cross-Hatch Amount ,
Cross Process CP 6 ,
Cross Process CP 4 ,
Cross Process CP 3 ,
Crosshair ,
Crosses 2 ,
Crosses 1 ,
Crossed ,
Custom C-X-[vx] ,
Custom B-Y-[vy] ,
Custom B-X-[vx] ,
Custom A-Y-[vy] ,
Custom Correction Map ,
Custom Code [Local] ,
Custom Code [Global] ,
Custom C-Y-[vy] ,
Custom A-X-[vx] ,
Curve Length ,
Curve Angle ,
Curve Amount ,
Cupid ,
Curves Previously Defined ,
Curves ,
Curved Stroke ,
Curved ,
Dark Green 02 ,
Depth Map Construction ,
Depth Map ,
Depth Fade Out Frames ,
Depth Fade In Frames ,
Depth-Of-Field Type ,
Depth Maps Only ,
Depth Map Reconstruction ,
Depth Map Only ,
Dense ,
Denim [bruit/noise] ,
Denim Texture ,
Delicatessen ,
Delaunay: Windows Open Simultaneously ,
Denoise Smooth Alt ,
Denoise Smooth ,
Denoise Simple 40 ,
Denoise ,
Detail Reconstruction Strength ,
Detail Reconstruction Smoothness ,
Detail Reconstruction Detection ,
Detail Level ,
Details (%) ,
Detail Strength ,
Detail Scale ,
Detail Reconstruction Style ,
Destination Y-Tiles ,
Descent Method ,
Desaturate Norm ,
Desaturate (%) ,
Deriche ,
Destination X-Tiles ,
Destination (%) ,
Desert Gold 37 ,
Descreen ,
Delaunay: Portrait De Metzinger ,
Day4Nite ,
Day for Night ,
David ,
Date 39 ,
Decompose Channels ,
Decompose ,
Decagon ,
De-Anaglyph ,
Dark Sky ,
Dark Motive ,
Dark Man X ,
Dark Length ,
Dark Green 1 ,
Dark Screen ,
Dark Place 01 ,
Dark Pixels ,
Dark Orange Teal ,
Defects Size ,
Defects Density ,
Defects Contrast ,
Default (Circle) ,
Deinterlace2x ,
Deinterlace ,
Deform ,
Defects Smoothness ,
Deep Warm Fade ,
Deep Dark Warm ,
Deep Blue ,
Deep ,
Decoration ,
Deep Teal Fade ,
Deep Skin Tones 3 ,
Deep Skin Tones 2 ,
Deep High Contrast ,
Cross Process CP 18 ,
Colorize [with Colormap] ,
Colorize [Photographs] ,
Colorize [Interactive] ,
Colorize Mode ,
Colors Only (1 Layer) ,
Colors Only ,
Colormap Type ,
Colorized Image (1 Layer) ,
Colorize Lineart [Smart Coloring] ,
Colorful 0209 ,
Colorful ,
Colored on Transparent ,
Colored on Black ,
Colorize Lineart [Propagation] ,
Colorize Lineart [Auto-Fill] ,
Coloring ,
Colorful Blobs ,
Comix Colors ,
Comic Style ,
Comic Book ,
Column by Column ,
Compression Blur ,
Compress Highlights ,
Composed Layers ,
Components ,
Colours ,
Colour Channels ,
Colour ,
Colors to Layers ,
Colors to Black or White ,
Colour Space Mode ,
Colour Smoothing ,
Colour Model ,
Colour Generation Seed ,
Colored Regions ,
Color Highlights ,
Color Green-Magenta ,
Color Gamma ,
Color Effect Mode ,
Color Median ,
Color Mask [Interactive] ,
Color Mask ,
Color Image ,
Color Channel  Smoothing ,
Color Angle ,
Color Abstraction Paint ,
Color Abstraction Opacity ,
Color 4 (Bottom/Right Corner) ,
Color Blue-Yellow ,
Color Blindness ,
Color Blending ,
Color Basis ,
Colored Geometry ,
Colored Edges ,
Colorburn ,
Colorbase ,
Colored Pencils ,
Colored Outline ,
Colored Lineart ,
Colored Grain ,
Color Variation [Random -1] ,
Color Presets ,
Color Overall Effect ,
Color Negative ,
Color Midtones ,
Color Spots + Lineart ,
Color Shadows ,
Color Shading (%) ,
Color Rendering ,
Compression Filter ,
Couleur / Color D ,
Couleur / Color C ,
Couleur / Color B ,
Couleur / Color A ,
Couleur Denim ,
Couleur / Color G ,
Couleur / Color F ,
Couleur / Color E ,
Couleur / Color ,
Copper ,
Cool / Warm ,
Cool (256) ,
Convolve ,
Cosinusoidal Liquid ,
Cos(z) ,
Correlated Channels ,
Corner Brightness ,
Crop (%) ,
Criterion ,
Crisp Warm ,
Crisp Romance ,
Cross Process CP 16 ,
Cross Process CP 15 ,
Cross Process CP 14 ,
Cross Process CP 130 ,
Crip Winter ,
Courbure Ombre / Curvature Shadow ,
Counter Clockwise ,
Couleurs B ,
Couleurs A ,
Creative Pack (33) ,
Crease ,
Cracks ,
Course 4 ,
Control Point 6 ,
Construction Material Texture ,
Constraint Radius ,
Constrained Sharpen ,
Constrain Values ,
Contour Detection (%) ,
Contour Coherence ,
Contour Chaos ,
Continuous Droste ,
Constrain Image Size ,
Conformal Maps ,
Conflict 01 ,
Cone ,
Computation Mode ,
Connectors Variability ,
Connectors Centering ,
Connect-Four ,
Conical Start at 0? ,
Control Point 1 ,
Contributors ,
Contrasty Green ,
Contrasty Afternoon ,
Control Point 5 ,
Control Point 4 ,
Control Point 3 ,
Control Point 2 ,
Contrast(%) ,
Contours + Flocon/Snowflake ,
Contour Threshold (%) ,
Contour Precision ,
Contour Normalization ,
Contrast with Highlights Protection ,
Contrast Swiss Mask ,
Contrast Smoothness ,
Contrail 35 ,
Blob 5 Color ,
50. Activate Relief Processing ,
5. Octaves ,
5.  Edge Threshold ,
4th Tone ,
54. Blending Mode ,
53. Smoothness ,
52. Depth (%) ,
51. Angle ,
4th ,
45. HP Order Cube Root ,
45 Deg. ,
44. HP Frequency Power ,
43. LP Resonance ,
49. Makeup Gain ,
48. Absolute ,
47. Colour Space ,
46. HP Resonance ,
7.  Blur ,
6th Tone ,
6th ,
67.5 Deg. ,
7th Tone ,
7th ,
7Drk21 ,
7. Mode ,
64px ,
5th Tone ,
5th ,
5:4 ,
55. Blending Opacity (%) ,
64 Keypoints ,
64 (Faster) ,
6. Damping per Octave ,
6.  Smoothness ,
42. LP Order Cube Root ,
3D Image Type ,
3D Image Object [Animated] ,
3D Image Object ,
3D Extrusion [Animated] ,
3D Reflection ,
3D Random Objects ,
3D Metaballs ,
3D Lathing ,
3D Extrusion ,
3D CLUT (Precise) ,
3D CLUT (Fast) ,
3D Blocks ,
3D Angles ,
3D Elevation [Animated] ,
3D Elevation ,
3D Conversion ,
3D Colored Object ,
4 Grays ,
4 Colors ,
3rd Y-Coord ,
3rd X-Coord ,
41. LP Frequency Power ,
40. Create Copy? ,
4. Radius ,
4.  Segmentation [No Alpha Channel] ,
3rd Tone ,
3D Tiles ,
3D Text Pointcloud ,
3D Starfield ,
3D Rubber Object ,
3rd Parameter ,
3rd ,
3D Waves ,
3D Video Conversion ,
8 Colors ,
Action #24 ,
Action #23 ,
Action #22 ,
Action #21 ,
Action #6 ,
Action #5 ,
Action #4 ,
Action #3 ,
Action #20 ,
Action #16 ,
Action #15 ,
Action #14 ,
Action #13 ,
Action #2 ,
Action #19 ,
Action #18 ,
Action #17 ,
Activate Second Direction ,
Activate Pink Elephants ,
Activate Overload Functions ,
Activate Mirror ,
Activate Slice 3 ,
Activate Slice 2 ,
Activate Slice 1 ,
Activate Shakes ,
Activate Lizards ,
Action Magenta 01 ,
Action #9 ,
Action #8 ,
Action #7 ,
Activate Grid? ,
Activate Custom Filter ,
Activate Color Enhancement ,
Action Red 01 ,
Action #12 ,
A-Color Smoothness ,
A-Color Shift ,
A-Color Factor ,
9th Color ,
A4 / 150 PPI ,
A4 / 100 PPI (Recommended) ,
A-Value ,
A-Component ,
9th ,
8.  Quadtree Pixelisation [No Alpha Channel] ,
8-10. Color Balance ,
8 Keypoints (RGB Corners) ,
8 Grays ,
9.  Quadtree Min Precision ,
8th Tone ,
8th ,
8px ,
Acrylic Earthing ,
Acros+Ye ,
Acros+R ,
Acros+G ,
Action #11 ,
Action #10 ,
Action #1 ,
Acrylica ,
Acros ,
Absolute Brightness ,
Abigail Gonzalez (21) ,
A4 / 75 PPI ,
A4 / 300 PPI ,
Achromatopsia ,
Achromatomaly ,
Accentuation Nuances / Sharpen Shades ,
Acceleration ,
3:2 ,
15. Maximum Noise ,
15. Colour Space ,
15. Channel 1 ,
14th ,
16. Channel 2 ,
16 Grays ,
16 Colors ,
15th ,
14. Value Action ,
12th ,
128px ,
125 Keypoints ,
12. Noise Type ,
14. Minimum Noise ,
13th ,
13. Noise Type ,
13. Channel(s) ,
1st Additional Palette (.Gpl) ,
1st ,
1:1 ,
19. Warp Offset ,
1st Variance ,
1st Tone ,
1st Text ,
1st Parameter ,
19. Desaturation (%) ,
16th ,
16px ,
16:10 ,
16. Noise Channel(s) ,
18. Warp Intensity ,
18. Normalise ,
17. Warp Iterations ,
17. Channel 3 ,
12.  Quadtree Max Homogeneity ,
*Vivid Screen* ,
*Vivid Edges* ,
*Graphix Colors ,
*Dark Screen* ,
-1. Value Action ,
- NON / NO - ,
+90 Deg. ,
+180 Deg. ,
*Dark Edges* ,
× 3 ,
× 2 ,
× 1.5 ,
× 1.25 ,
*Comix Colors* ,
*Colors Doping* ,
*Colors Doping ,
♥ Support Us ! ♥ ,
11.  Quadtree Min Homogeneity ,
10th Color ,
10th ,
10.  Quadtree Max Precision ,
12 Grays ,
12 Colors ,
11th ,
11. Amplitude ,
1.85:1 ,
.Bmp ,
-4. Normalise ,
-3. Normalisation Channel(s) ,
-2. Overall Channel(s) ,
1.  Plasma Texture [Discards Input Image] ,
1 Levels ,
0.  Recompute ,
.Png ,
1st X-Coord ,
3.  Plasma Alpha Channel ,
3 Mix ,
3 Grays ,
3 Colors ,
31. Y-Factor ,
31. Maximum Hue ,
30. X-Factor ,
30. Minimum Hue ,
2xy-Axes ,
2nd Tone ,
2nd Text ,
2nd Parameter ,
2nd Additional Palette (.Gpl) ,
2x Type ,
2nd Y-Coord ,
2nd X-Coord ,
2nd Variance ,
37. Channel(s) ,
36. Hue Offset ,
36. Boundary ,
35. Maximum Value ,
39. Activate Butterworth Bandpass Processing ,
38. Value Offset ,
38. Blur Original ,
37. Saturation Offset ,
35. Interpolation ,
33. Maximum Saturation ,
32px ,
32. X-Offset ,
32. Minimum Saturation ,
343 Keypoints ,
34. Y-Offset ,
34. Minimum Value ,
34. Correlated Channels ,
2nd ,
22. Correlated Channels ,
21:9 ,
216 Keypoints ,
21. Self-Blending ,
23. Self-Blending V. Original Blending ,
23. Boundary ,
22.5 Deg. ,
22. Self-Blending Opacity (%) ,
21. Scale to Height ,
2 Noise ,
2 Grays ,
2 Colors ,
1st Y-Coord ,
20. Scale to Width ,
2.35:1 ,
2.  Plasma Scale ,
2-Strip Process ,
29. Negate? ,
28. Hue Offset ,
28. Equalize? ,
27. Number #2 ,
2XY-Axes ,
2XY Mirror ,
2:1 ,
29. Normalise ,
27. Gamma Offset ,
25. Value Action ,
25. Random Negation ,
24. Warp Channel(s) ,
24. Self-Blend V. Original Opacity (%) ,
27 Keypoints ,
26. Random Negation Channel(s) ,
26. Number #1 ,
256px ,
Balloons ,
Ball ,
Balance(%) ,
Balance SRGB ,
Barbara ,
Bandpass ,
Banding Denoise ,
Balls ,
Background Point (%) ,
BC Darkum ,
B-Component ,
B-Color Smoothness ,
B-Color Shift ,
Background Intensity ,
Background (%) ,
BW but Yellow ,
BG Textured ,
Beach Faded Analog ,
Beach Aqua Orange ,
Bayer Reconstruction ,
Bayer Filter ,
Berlin Sky ,
Berat (10) ,
Below ,
Behind ,
Bayer ,
Bars ,
Barnsley Fern ,
Barbouillage Paint Daub ,
Barbed Wire ,
Batch Processing ,
Basic Adjustments ,
Base Thickness (%) ,
Base Reference Dimension ,
B-Color Factor ,
Average 5x5 ,
Average 3x3 ,
Avalanche ,
Ava 614 ,
Average RGB ,
Average Color ,
Average 9x9 ,
Average 7x7 ,
Autumn ,
Autocrop Output Layers ,
Auto-Threshold ,
Auto-Set Periodicity ,
Auto-Reduce Number of Frames ,
Automatic [Scan All Hues] ,
Automatic Upscale for Optimum Results ,
Automatic Color Balance ,
Automatic & Contrast Mask ,
B&W Pencil [Animated] ,
B&W ,
Azrael 93 ,
Azimuth ,
B-Boyz 2 ,
B&W Stencil [Animated] ,
B&W Stencil ,
B&W Photograph ,
Axis ,
Avg Branching ,
Avg / Max Weight ,
Avg ,
Average Smoothness ,
Avg Thickness Factor (%) ,
Avg Right Angle (deg.) ,
Avg Length Factor (%) ,
Avg Left Angle (deg.) ,
Best Match ,
Blend [Fade] ,
Blend [Edges] ,
Blend [Average All] ,
Blend Threshold ,
Blending Mode ,
Blend [Standard] ,
Blend [Seamless] ,
Blend [Median] ,
Blend Scales ,
Bleech Bypass Green ,
Bleach Bypass 4 ,
Bleach Bypass 3 ,
Bleach Bypass 2 ,
Blend Decay ,
Blend All Layers ,
Blend ,
Bleech Bypass Yellow 01 ,
Blob 3 ,
Blob 2 Color ,
Blob 12 Color ,
Blob 12 ,
Blob 5 ,
Blob 4 Color ,
Blob 4 ,
Blob 3 Color ,
Blob 11 Color ,
Blob 1 ,
Blindness Type ,
Blending Size ,
Blending Opacity (%) ,
Blob 11 ,
Blob 10 Color ,
Blob 10 ,
Blob 1 Color ,
Bleach Bypass 1 ,
Black & White 03 ,
Black & White 02 ,
Black & White 01 ,
Black & White (25) ,
Black & White-1 ,
Black & White 06 ,
Black & White 05 ,
Black & White 04 ,
Bit Masking (Start) ,
Bidirectional [Smooth] ,
Bidirectional [Sharp] ,
Bias ,
Bi-Directional ,
Bit Masking (End) ,
Binary Digits ,
Binary ,
Bilateral Radius ,
Black Star ,
Black Level ,
Black Dices ,
Black Crayon Graffiti ,
Bleach Bypass ,
Blade Runner ,
Black to White ,
Black on Transparent ,
Black & White-9 ,
Black & White-4 ,
Black & White-3 ,
Black & White-2 ,
Black & White-10 ,
Black & White-8 ,
Black & White-7 ,
Black & White-6 ,
Black & White-5 ,
Auto-Clean Bottom Color Layer ,
Alternating Chaos 2 ,
Alternating Chaos 1 [Legacy] ,
Alternating Chaos 1 ,
Alternating Chaos 0 ,
Alternating Chaos 4 ,
Alternating Chaos 3 [Legacy] ,
Alternating Chaos 3 ,
Alternating Chaos 2 [Legacy] ,
Also Match Gradients ,
All Round ,
All Layers and Masks ,
All 90&deg; Rotations ,
All 45&deg; Rotations ,
Alpha Mode ,
Allow Self Intersections ,
All but Reference Color ,
All XY-Flips ,
Amstragram+ ,
Amstragram ,
Amplitude / Angle ,
Amount (%) ,
Analog Film 1 ,
Anaglyph: Red/Cyan ,
Anaglyph Reconstruction ,
Anaglypgh Green/magenta Optimized ,
Ambient Lightness ,
Alternating Custom Formula Level 1 ,
Alternating Chaos 5 [Legacy] ,
Alternating Chaos 5 ,
Alternating Chaos 4 [Legacy] ,
Ambient (%) ,
Alternative Custom Formula Level 3 ,
Alternating Custom Formula Level 4 ,
Alternating Custom Formula Level 2 ,
Alignment Type ,
Add Image Label ,
Add Grain ,
Add Comment Area in HTML Page ,
Add Colors ,
Additional Outline ,
Additional Duplicates Count ,
Add as a New Layer ,
Add User-Defined Constraints (Interactive) ,
Add Color Background ,
Adapt Luminance ,
Activer Symmetrizoscope ,
Activer Couleurs Formes ,
Activate Slice 4 ,
Add Chalk Highlights ,
Add Alpha Channels to Detail Scale Layers ,
Add 1px Outline ,
Adaptive ,
Alien Green ,
Algorithm ,
Alex Jordan (81) ,
Aggressive Highlights Recovery 5 ,
Aligned ,
Align Layers ,
Align Image Streams ,
Alien Rasta ,
Aggresive ,
Agfa APX 100 ,
Adventure 1453 ,
Adjust Background Reconstruction ,
Additive ,
Agfa Vista 200 ,
Agfa Ultra Color 100 ,
Agfa Precisa 100 ,
Agfa APX 25 ,
AnalogFX - Anno 1870 Color ,
Array [Regular] ,
Array [Random] ,
Array [Random Colors] ,
Array [Mirrored] ,
Artistic Hard ,
Artistic  Modern ,
Arrows (Outline) ,
Arrows ,
Array [Faded] ,
Arabica 12 ,
Aqua and Orange Dark ,
Aqua ,
Apply Transformation From ,
Areas Smoothness ,
Areas Light Adjustment ,
Area Smoothness ,
Arctangent ,
Aurora ,
Atomic Pink ,
Asymphological Vibrato ,
Asymphological Basic 2 ,
Auto Set Hue Inverse (Hue Slider Is Disabled) ,
Auto Reduce Level (Level Slider Is Disabled) ,
Auto Crop ,
Australia ,
Asymphological Basic ,
Aspect ,
Ascii Art ,
Ascii ,
Artistic Round ,
Asymphochaos ,
Astia ,
Associated Color ,
Asplenium Adiantum-Nigrum ,
Apply Skin Tone Mask ,
Angle Décalage Des Couleurs A / Offset ,
Angle / Size ,
Angle (deg.) ,
Angle (deg) ,
Angle Edge Behaviour ,
Angle Dispersion ,
Angle Décalage Image Contour ,
Angle Décalage Des Couleurs B / Offset ,
Angle (%) ,
AnalogFX - Sepia Color ,
AnalogFX - Old Style III ,
AnalogFX - Old Style II ,
AnalogFX - Old Style I ,
Analysis Smoothness ,
Analysis Scale ,
AnalogFX - Soft Sepia II ,
AnalogFX - Soft Sepia I ,
Apply Adjustments On ,
Apples ,
Apocalypse This Very Moment ,
Antisymmetry ,
Apply Relief? ,
Apply Mask ,
Apply External CLUT ,
Apply Color Balance ,
Annular Steiner Chain Round Tile ,
Angoisse Anguish ,
Angle of Main Nebulous Surface ,
Angle of Disturbance Surface ,
Angle Range (deg.) ,
Anisotropy (%) ,
Anime ,
Angular Tiles ,
Angular Step (°) ,
K-2 ,
K-1 ,
K Variable ,
K Mode ,
KH 10 ,
KH 1 ,
K-Tone Vintage Kodachrome ,
K-Factor ,
Just Peachy ,
JPEG Smooth ,
JPEG Artefacts ,
J.T. Semple (14) ,
J. Wick 21 ,
Julia ,
Jet (256) ,
Jawbreaker ,
Japanese Maple Leaf ,
Kandinsky: Squares with Concentric Circles ,
Kaleidoscope [Symmetry] ,
Kaleidoscope [Reptorian-Polar] ,
Kaleidoscope [Polar] ,
Keep Base Layer as Input Background ,
Keep Aspect Ratio ,
Keep ,
Kandinsky: Yellow-Red-Blue ,
Kaleidoscope [Blended] ,
KH 5 ,
KH 4 ,
KH 3 ,
KH 2 ,
KH 9 ,
KH 8 ,
KH 7 ,
KH 6 ,
Iuwt ,
Instant [Consumer] (54) ,
Inside-Out ,
Inside Color ,
Insert New CLUT Layer ,
Intensity of Purple Fringe ,
Intarsia ,
Instant-C ,
Instant [Pro] (68) ,
Input Transparency ,
Inpaint [Transport-Diffusion] ,
Inpaint [Patch-Based] ,
Inpaint [Multi-Scale] ,
Inpaint [Morphological] ,
Input Layers ,
Input Guide Color ,
Input Frame Files Name ,
Input Folder ,
Invert Luminance ,
Invert Image Colors ,
Invert Embossing? ,
Invert Canvas Colors ,
Iteration ,
Isophotes ,
Inward ,
Invert Mask ,
Invert Blur ,
Inverse Radius ,
Inverse Depth Map ,
Interpolation Type ,
Interp ,
Invert Background / Foreground ,
Inversions ,
Inversion Couleurs / Invert Colors ,
Inverse Transform ,
Keep Borders Square ,
Kodak Portra 160 + ,
Kodak Portra 160 ,
Kodak Kodachrome 64 ,
Kodak Kodachrome 25 ,
Kodak Portra 160 NC ++ ,
Kodak Portra 160 NC + ,
Kodak Portra 160 - ,
Kodak Portra 160 ++ ,
Kodak Kodachrome 200 ,
Kodak Elite Chrome 400 ,
Kodak Elite Chrome 200 ,
Kodak Elite 100 XPRO ,
Kodak Ektar 100 ,
Kodak HIE (HS Infra) ,
Kodak Elite ExtraColor 100 ,
Kodak Elite Color 400 ,
Kodak Elite Color 200 ,
Kodak Portra 400 UC ,
Kodak Portra 400 NC - ,
Kodak Portra 400 NC ++ ,
Kodak Portra 400 NC + ,
Kodak Portra 400 VC ,
Kodak Portra 400 UC - ,
Kodak Portra 400 UC ++ ,
Kodak Portra 400 UC + ,
Kodak Portra 400 NC ,
Kodak Portra 160 VC - ,
Kodak Portra 160 VC ++ ,
Kodak Portra 160 VC + ,
Kodak Portra 160 NC - ,
Kodak Portra 400 - ,
Kodak Portra 400 ++ ,
Kodak Portra 400 + ,
Kodak Portra 400 ,
Kodak Ektachrome 100 VS ,
Key Factor ,
Kernel Type ,
Kernel Multiplier ,
Keftales ,
Keypoint Influence (%) ,
Key Smoothness ,
Key Shift ,
Key Frame Rate ,
Keep Transparency in Output ,
Keep Detail Layer Separate ,
Keep Detail ,
Keep Colors ,
Keep Color Channels ,
Keep Tiles Square ,
Keep Original Layer ,
Keep Original Image Size ,
Keep Layers Separate ,
Kodak 2393 (Constlclip) ,
Kodak 2383 (Cuspclip) ,
Kodak 2383 (Constlmap) ,
Kodak 2383 (Constlclip) ,
Kodak E-100 GX Ektachrome 100 ,
Kodak BW 400 CN ,
Kodak 2393 (Cuspclip) ,
Kodak 2393 (Constlmap) ,
Kodak 1-8 ,
Klee: In the Style of Kairouan ,
Klee: Death and Fire ,
Kitaoka Spin Illusion ,
Killstreak ,
Klimt: The Kiss ,
Klee: Red Waistcoat ,
Klee: Polyphony 2 ,
Klee: Oriental Pleasure Garden Anagoria ,
Inpaint [Holes] ,
Highlights Protection ,
Highlights Lightness ,
Highlights Hue ,
Highlights Crossover Point ,
Hilutite ,
Highres CLUT ,
Highlights Zone ,
Highlights Selection ,
Highlights Color Intensity ,
Higher Mask Threshold (%) ,
High Value ,
High Speed ,
High Scale ,
Highlights Brightness ,
Highlights Abstraction ,
Highlight Bloom ,
Highlight (%) ,
Horizontal Array ,
Horizon Leveling (deg) ,
Horisontal Length ,
Hope Poster ,
Horizontal Tiles ,
Horizontal Stripes ,
